Age,Job,Credit amount,Duration,Sex_female,Housing_free,Housing_own,Housing_rent,Saving accounts_Missing,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk
53,2,7119,48,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
44,3,12579,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
21,2,2779,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,False
42,1,1503,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
24,2,1237,8,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
38,2,3914,48,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,True
32,2,3062,24,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,False
61,3,1953,36,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
22,2,3832,30,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
56,2,1538,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
29,2,2108,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
49,2,428,6,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
30,3,4455,36,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
33,2,2319,21,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,True
44,2,1163,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False
52,2,936,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,False
25,0,2473,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
34,1,1569,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
34,3,3017,12,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
49,2,2331,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
49,1,2096,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
39,1,1037,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False
50,2,1236,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,False
35,2,4151,24,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False
27,2,3609,48,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
29,3,1412,12,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
40,1,3939,11,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
66,3,1526,12,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
40,2,2675,22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
28,2,4221,30,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
63,2,2924,24,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
28,2,1817,18,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
37,2,1225,10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
46,2,1845,15,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
41,1,250,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
23,1,660,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,False
27,0,709,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
43,3,15857,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False
34,1,1837,24,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
28,1,1797,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
23,2,448,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
25,2,3213,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False
33,1,2579,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
35,2,1198,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
29,2,5003,21,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
29,1,2333,24,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
36,2,1262,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False
40,1,1155,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
40,2,894,10,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False
42,2,3331,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
26,1,1113,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
41,1,719,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
34,3,2064,24,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
49,1,3656,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
75,3,6615,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
38,3,3229,18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
28,2,3343,15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
31,1,3108,30,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
24,2,458,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
35,2,1471,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
40,2,1322,11,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
48,2,1288,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,False
30,2,707,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
38,1,1308,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False
33,2,3074,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
23,2,2511,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,False
30,2,1740,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
29,1,1123,12,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,True
20,2,1577,11,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False
23,2,1845,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
30,1,2028,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
42,3,8318,27,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
25,2,1295,12,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,True
39,3,11938,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,True
37,2,1819,36,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
44,2,1478,15,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
43,1,1516,24,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False
25,2,2136,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
23,2,3812,15,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
36,2,4165,18,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
43,2,4057,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
44,2,10127,48,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True
28,1,484,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
42,2,6288,60,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
55,2,6872,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
31,2,1532,15,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,False
48,2,2134,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
20,3,1107,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
39,2,2212,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
20,2,3186,15,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
35,1,10722,47,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
46,1,730,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False
28,2,2073,12,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
65,2,571,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
36,2,2360,15,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False
43,1,1344,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
30,3,7174,42,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
56,2,4796,42,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
34,2,3965,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
39,1,7228,11,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
38,2,1216,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,True
57,1,2748,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
55,3,9283,42,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
32,1,4526,27,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False
26,2,5248,21,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
26,2,3181,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
54,2,717,24,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
25,2,1262,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
39,3,1884,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
27,2,1924,18,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,True
50,3,7476,48,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
28,2,939,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True
23,1,841,12,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,False
28,2,4113,24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True
25,2,5152,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
23,2,4281,33,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,True
22,2,1567,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
45,1,339,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
24,2,1275,15,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,True
30,2,639,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,True
39,2,2299,36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
30,3,1823,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
42,3,7763,48,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
51,2,1595,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
58,1,385,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
28,2,776,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
30,2,3069,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False
59,2,1364,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
27,2,1221,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
39,1,3398,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
42,2,4153,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
26,0,1778,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,True
23,2,1236,9,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,False
21,2,1766,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
25,2,8072,30,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False
74,3,5129,9,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
27,2,8648,24,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
28,2,4169,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
43,2,1935,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
35,2,2397,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,True
43,1,1459,15,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
25,1,685,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
24,2,4605,48,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
28,2,2142,11,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
33,2,950,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,True
68,0,1175,16,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
23,2,1498,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
47,2,1984,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
42,2,3804,36,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
21,1,1987,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,True
27,1,4139,24,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False
32,2,701,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
39,1,9436,54,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
24,2,3190,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
23,2,882,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
36,2,2760,24,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
20,2,2221,15,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,False
24,1,626,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
32,3,18424,48,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,True
47,1,1217,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
35,2,2576,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
44,2,2647,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False
21,2,2570,27,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,True
31,2,3148,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
39,1,666,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
27,2,1185,12,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
38,2,5954,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
25,1,4746,45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
47,2,1213,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
34,1,1898,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
24,1,11590,48,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True
23,1,601,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
33,2,1245,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True
31,2,5742,36,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False
35,2,1410,14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,False
23,2,900,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
52,1,362,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
35,2,1979,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
28,3,3349,36,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
33,1,797,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
29,2,518,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
45,2,2303,24,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
41,2,2712,36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
33,2,1474,24,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
30,3,1820,18,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
33,2,1927,24,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False
25,2,1433,15,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
47,1,958,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
45,1,3835,36,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
26,2,763,12,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
32,2,2978,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False
35,2,1291,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
20,2,674,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,True
34,2,6527,60,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
35,2,976,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
37,1,3949,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
23,1,1048,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
35,3,2670,24,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
32,2,4583,30,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
44,2,2375,24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,False
20,2,1282,12,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True
62,2,3757,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
36,1,4241,24,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
29,3,6579,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
30,2,2121,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
29,2,2171,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
46,1,3594,15,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
32,3,4686,36,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
30,2,4657,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
45,3,8978,14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
30,2,1055,18,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
54,2,3051,48,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
21,2,3441,30,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,True
33,2,5150,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
31,3,1963,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
40,0,3590,18,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
35,2,5842,36,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
41,1,1469,24,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,False
28,2,2603,24,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
31,2,3651,12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
22,2,3149,24,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
23,2,4110,24,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True
29,2,1437,9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,True
47,2,1377,24,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
27,3,1422,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
57,2,3622,30,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False
39,3,3345,24,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True
26,1,625,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
19,1,983,12,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False
25,2,2991,30,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
46,2,1149,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False
22,1,276,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,False
25,2,1371,24,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,True
53,2,795,12,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,True
32,1,1282,24,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,True
38,2,368,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
25,2,1258,24,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
33,1,2186,15,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,False
53,2,2835,24,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False
22,2,3632,24,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,False
26,2,1311,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
46,2,2348,36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
24,2,433,6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
29,2,3959,15,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True
25,1,2631,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,False
26,2,2445,12,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,False
49,2,1038,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
35,2,8858,48,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
36,2,1275,24,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
21,1,6568,24,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
37,1,1344,24,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
30,3,5965,27,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
56,2,618,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
46,2,727,10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,False
23,2,1444,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
37,2,3620,36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
48,1,2241,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,False
60,3,14782,60,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,True
37,2,2022,24,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
26,0,609,12,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,True
24,1,3021,24,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
35,1,4380,18,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
27,1,1309,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
22,2,2828,24,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False
48,1,1795,18,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,False
43,1,1533,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
47,2,5103,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
38,3,10623,30,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
26,2,1386,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True
54,3,4591,24,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True
37,3,3399,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
50,1,1047,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
37,2,7685,48,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True
44,2,1553,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True
31,2,1360,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
44,1,760,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False
43,2,2899,18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False
